NUM_CLIENTE,TIPO DE  DISPOSITIVO
3.79E+18,CB
-9.82E+17,CB
7.21E+18,CB
-2.83E+18,CB
2.05E+18,CB
-4.79E+18,CB
5.45E+18,CB
-4.52E+18,CB
2.81E+18,CB
-2.32E+18,CB
1.73E+18,CB
3.20E+18,CB
1.39E+18,CB
5.20E+18,CB
6.32E+18,CB
-4.94E+18,CB
-7.02E+18,CB
7.64E+18,CB
-2.88E+18,CB
-1.04E+18,CB
2.65E+18,CB
-8.12E+18,CB
1.45E+18,CB
8.10E+18,CB
1.70E+18,CB
9.86E+16,CB
4.20E+18,CB
-5.87E+18,CB
8.47E+18,CB
-5.42E+18,CB
-1.40E+18,CB
-3.15E+18,CB
8.96E+18,CB
-3.73E+17,CB
-4.50E+18,CB
-4.72E+18,CB
-7.01E+18,CB
1.87E+18,CB
-6.28E+18,CB
1.16E+17,CB
-1.53E+18,CB
-5.29E+18,CB
-8.29E+18,CB
7.79E+18,CB
6.27E+18,CB
-8.72E+18,CB
-8.01E+18,CB
-3.46E+18,CB
-4.60E+18,CB
2.52E+18,CB
-6.51E+18,CB
-3.46E+18,CB
-9.73E+17,CB
-6.85E+18,CB
9.20E+18,CB
8.79E+18,CB
-1.21E+18,CB
-4.59E+18,CB
5.66E+18,CB
-2.03E+18,CB
5.11E+18,CB
-8.04E+18,CB
2.67E+18,CB
5.01E+18,CB
-8.88E+18,CB
3.52E+18,CB
3.99E+18,CB
5.88E+18,CB
-8.36E+18,CB
4.26E+18,CB
-3.47E+18,CB
-5.32E+17,CB
3.08E+18,CB
3.65E+18,CB
-1.62E+18,CB
2.93E+18,CB
-8.20E+17,CB
8.77E+18,CB
6.47E+18,CB
-1.08E+18,CB
-3.67E+18,CB
6.06E+18,CB
4.07E+18,CB
-2.98E+18,CB
6.62E+17,CB
4.12E+18,CB
5.07E+18,CB
-1.93E+18,CB
1.78E+18,CB
-7.90E+18,CB
5.08E+18,CB
4.92E+18,CB
-6.40E+18,CB
-2.47E+18,CB
-2.61E+18,CB
-7.00E+18,CB
2.20E+18,CB
-1.36E+18,CB
-5.58E+18,CB
8.60E+18,CB
